,filename,title,author
62,./data/tlg0094/tlg003/tlg0094.tlg003.perseus-grc1.xml,Placita Philosophorum,Pseudo-Plutarch
63,./data/tlg0094/tlg002/tlg0094.tlg002.perseus-grc1.xml,De musica,Pseudo-Plutarch
64,./data/tlg0060/tlg001/tlg0060.tlg001.perseus-grc2.xml,"Bibliotheca Historica, Books XVIII-XX",Diodorus Siculus
65,./data/tlg0060/tlg001/tlg0060.tlg001.perseus-grc1.xml,"Bibliotheca Historica, Books I-V",Diodorus Siculus
66,./data/tlg1389/tlg001/tlg1389.tlg001.perseus-grc2.xml,Lexicon in decem oratores Atticos,"Harpocration, Valerius"
67,./data/tlg0638/tlg007/tlg0638.tlg007.perseus-grc2.xml,De Gymnastica,Philostratus the Athenian
68,./data/tlg0638/tlg001/tlg0638.tlg001.perseus-grc1.xml,Vita Apollonii,Philostratus the Athenian
69,./data/tlg0638/tlg006/tlg0638.tlg006.perseus-grc1.xml,Epistulae et dialexeis,Philostratus the Athenian
70,./data/tlg0638/tlg003/tlg0638.tlg003.perseus-grc1.xml,Vitae Sophistarum,Philostratus the Athenian
71,./data/tlg0638/tlg004/tlg0638.tlg004.perseus-grc1.xml,Heroicus,Philostratus the Athenian
72,./data/tlg0638/tlg005/tlg0638.tlg005.perseus-grc1.xml,Nero,Philostratus the Athenian
73,./data/tlg0005/tlg001/tlg0005.tlg001.perseus-grc1.xml,Idylls ,Theocritus
74,./data/tlg0005/tlg002/tlg0005.tlg002.perseus-grc1.xml,Epigrams ,Theocritus
75,./data/tlg0653/tlg001/tlg0653.tlg001.perseus-grc1.xml,Phaenomena,Aratus Solensis
76,./data/tlg0034/tlg001/tlg0034.tlg001.perseus-grc1.xml,Against Leocrates ,Lycurgus
77,./data/tlg0033/tlg001/tlg0033.tlg001.perseus-grc2.xml,Ὀλυμπιονῖκαι,Pindar
78,./data/tlg0033/tlg003/tlg0033.tlg003.perseus-grc2.xml,Νεμεονῖκαι,Pindar
79,./data/tlg0033/tlg004/tlg0033.tlg004.perseus-grc2.xml,Ἰσθμιονῖκαι,Pindar
80,./data/tlg0033/tlg002/tlg0033.tlg002.perseus-grc2.xml,Πυθιονῖκαι,Pindar
81,./data/tlg0525/tlg001/tlg0525.tlg001.perseus-grc2.xml,Ἑλλάδος Περιηγήσεως,Pausanias
82,./data/tlg2040/tlg004/tlg2040.tlg004.perseus-grc1.xml,Epistulae,"Basil, Saint, Bishop of Caesarea"
83,./data/tlg2040/tlg002/tlg2040.tlg002.perseus-grc1.xml,"To Young Men, On How They Might Dervice Profit From Pagan Literature","Basil, Saint, Bishop of Caesarea"
84,./data/tlg0719/tlg001/tlg0719.tlg001.perseus-grc1.xml,De causis et signis acutorum morborum ,Aretaeus
85,./data/tlg0719/tlg003/tlg0719.tlg003.perseus-grc1.xml,De curatione acutorum morborum ,Aretaeus
86,./data/tlg0719/tlg004/tlg0719.tlg004.perseus-grc1.xml,De curatione diuturnorum morborum ,Aretaeus
87,./data/tlg0719/tlg002/tlg0719.tlg002.perseus-grc2.xml,Περὶ αἰτίων καὶ σημείων χρονίων παθῶν,Aretaeus of Cappadocia
88,./data/tlg1600/tlg001/tlg1600.tlg001.perseus-grc2.xml,Imagines,Philostratus the Lemnian (Philostratus Major)
89,./data/tlg0540/tlg009/tlg0540.tlg009.perseus-grc2.xml,For The Soldier,Lysias
90,./data/tlg0540/tlg031/tlg0540.tlg031.perseus-grc2.xml,Against Philon,Lysias
91,./data/tlg0540/tlg007/tlg0540.tlg007.perseus-grc2.xml,Defense in the Matter of the Olive Stump,Lysias
92,./data/tlg0540/tlg001/tlg0540.tlg001.perseus-grc2.xml,On the Murder of Eratosthenes,Lysias
93,./data/tlg0540/tlg006/tlg0540.tlg006.perseus-grc2.xml,Against Andocides,Lysias
94,./data/tlg0540/tlg030/tlg0540.tlg030.perseus-grc2.xml,Against Nicomachus,Lysias
95,./data/tlg0540/tlg008/tlg0540.tlg008.perseus-grc2.xml,Accusation of Calumny,Lysias
96,./data/tlg0540/tlg015/tlg0540.tlg015.perseus-grc2.xml,Against Alcibiades 2,Lysias
97,./data/tlg0540/tlg012/tlg0540.tlg012.perseus-grc2.xml,Against Eratosthenes,Lysias
98,./data/tlg0540/tlg024/tlg0540.tlg024.perseus-grc2.xml,On The Refusal Of A Pension,Lysias
99,./data/tlg0540/tlg023/tlg0540.tlg023.perseus-grc2.xml,Against Pancleon,Lysias
100,./data/tlg0540/tlg022/tlg0540.tlg022.perseus-grc2.xml,Against The Corn-Dealers,Lysias
101,./data/tlg0540/tlg025/tlg0540.tlg025.perseus-grc2.xml,Defense Against a Charge of Subverting the Democracy,Lysias
102,./data/tlg0540/tlg013/tlg0540.tlg013.perseus-grc2.xml,Against Agoratus,Lysias
103,./data/tlg0540/tlg014/tlg0540.tlg014.perseus-grc2.xml,Against Alcibiades 1,Lysias
104,./data/tlg0540/tlg032/tlg0540.tlg032.perseus-grc2.xml,Against Diogeiton,Lysias
105,./data/tlg0540/tlg003/tlg0540.tlg003.perseus-grc2.xml,Against Simon,Lysias
106,./data/tlg0540/tlg004/tlg0540.tlg004.perseus-grc2.xml,On A Wound By Premeditation,Lysias
107,./data/tlg0540/tlg005/tlg0540.tlg005.perseus-grc2.xml,For Callias,Lysias
108,./data/tlg0540/tlg002/tlg0540.tlg002.perseus-grc2.xml,Funeral Oration,Lysias
109,./data/tlg0540/tlg034/tlg0540.tlg034.perseus-grc2.xml,Against The Subversion of the Ancestral Constitution,Lysias
110,./data/tlg0540/tlg033/tlg0540.tlg033.perseus-grc2.xml,Olympic Oration,Lysias
111,./data/tlg0540/tlg011/tlg0540.tlg011.perseus-grc2.xml,Against Theomnestus 2,Lysias
112,./data/tlg0540/tlg016/tlg0540.tlg016.perseus-grc2.xml,In Defense of Mantitheus,Lysias
113,./data/tlg0540/tlg029/tlg0540.tlg029.perseus-grc2.xml,Against Philocrates,Lysias
114,./data/tlg0540/tlg020/tlg0540.tlg020.perseus-grc2.xml,For Polystratus,Lysias
115,./data/tlg0540/tlg027/tlg0540.tlg027.perseus-grc2.xml,Against Epicrates and his Fellow-envoys,Lysias
116,./data/tlg0540/tlg018/tlg0540.tlg018.perseus-grc2.xml,On the Confiscation of the Property Of The Brother Of Nicias,Lysias
117,./data/tlg0540/tlg026/tlg0540.tlg026.perseus-grc2.xml,On the Scrutiny of Evandros,Lysias
118,./data/tlg0540/tlg019/tlg0540.tlg019.perseus-grc2.xml,On the Property of Aristophanes,Lysias
119,./data/tlg0540/tlg021/tlg0540.tlg021.perseus-grc2.xml,Defense Against A Charge Of Taking Bribes,Lysias
120,./data/tlg0540/tlg017/tlg0540.tlg017.perseus-grc2.xml,On The Property Of Eraton,Lysias
121,./data/tlg0540/tlg028/tlg0540.tlg028.perseus-grc2.xml,Against Ergocles,Lysias
122,./data/tlg0540/tlg010/tlg0540.tlg010.perseus-grc2.xml,Against Theomnestus 1,Lysias
123,./data/tlg2046/tlg001/tlg2046.tlg001.perseus-grc1.xml,Fall of Troy,Quintus Smyrnaeus
124,./data/tlg0548/tlg001/tlg0548.tlg001.perseus-grc2.xml,Library ,Apollodorus
125,./data/tlg0548/tlg002/tlg0548.tlg002.perseus-grc2.xml,Epitome ,Apollodorus
126,./data/tlg0555/tlg001/tlg0555.tlg001.perseus-grc1.xml,Protrepticus,Clement of Alexandria
127,./data/tlg0555/tlg006/tlg0555.tlg006.perseus-grc1.xml,Quis Dis Salvetur,Clement of Alexandria
128,./data/tlg0555/tlg008/tlg0555.tlg008.perseus-grc1.xml,"Exhortation to Endurance, or to the Newly Baptized",Clement of Alexandria
129,./data/tlg0555/tlg004/tlg0555.tlg004.perseus-grc1..xml,Stromata (Books I-VI),Clement of Alexandria
130,./data/tlg0554/tlg001/tlg0554.tlg001.perseus-grc1.xml,De Chaerea et Callirhoe,Chariton
131,./data/tlg0562/tlg001/tlg0562.tlg001.perseus-grc2.xml,Ad Se Ipsum,Marcus Aurelius
132,./data/tlg0199/tlg001/tlg0199.tlg001.perseus-grc1.xml,Odes (Greek) - Ep,Bacchylides
133,./data/tlg0199/tlg002/tlg0199.tlg002.perseus-grc1.xml,Odes (Greek) - Dith,Bacchylides
134,./data/tlg0011/tlg007/tlg0011.tlg007.perseus-grc2.xml,Oedipus at Colonus,Sophocles
135,./data/tlg0011/tlg001/tlg0011.tlg001.perseus-grc2.xml,Trachiniae,Sophocles
136,./data/tlg0011/tlg006/tlg0011.tlg006.perseus-grc2.xml,Philoctetes,Sophocles
137,./data/tlg0011/tlg008/tlg0011.tlg008.perseus-grc2.xml,Ichneutae,Sophocles
138,./data/tlg0011/tlg003/tlg0011.tlg003.perseus-grc2.xml,Ajax,Sophocles
139,./data/tlg0011/tlg004/tlg0011.tlg004.perseus-grc2.xml,Oedipus Tyrannus,Sophocles
140,./data/tlg0011/tlg005/tlg0011.tlg005.perseus-grc2.xml,Electra,Sophocles
141,./data/tlg0011/tlg002/tlg0011.tlg002.perseus-grc2.xml,Antigone,Sophocles
142,./data/tlg0647/tlg001/tlg0647.tlg001.perseus-grc1.xml,The Taking of Ilios,Tryphiodorus
143,./data/tlg0029/tlg006/tlg0029.tlg006.perseus-grc1.xml,Against Philocles ,Dinarchus
144,./data/tlg0029/tlg004/tlg0029.tlg004.perseus-grc1.xml,Against Demosthenes ,Dinarchus
145,./data/tlg0029/tlg005/tlg0029.tlg005.perseus-grc1.xml,Against Aristogiton ,Dinarchus
146,./data/tlg0016/tlg001/tlg0016.tlg001.perseus-grc2.xml,Ἱστορίαι,Herodotus
147,./data/tlg0020/tlg001/tlg0020.tlg001.perseus-grc2.xml,Theogony (Greek). Machine readable text,Hesiod
148,./data/tlg0020/tlg003/tlg0020.tlg003.perseus-grc2.xml,Shield of Heracles (Greek). Machine readable text,Hesiod
149,./data/tlg0020/tlg002/tlg0020.tlg002.perseus-grc2.xml,Works and Days (Greek). Machine readable text,Hesiod
150,./data/tlg0027/tlg001/tlg0027.tlg001.perseus-grc1.xml,On the Mysteries ,Andocides
151,./data/tlg0027/tlg003/tlg0027.tlg003.perseus-grc1.xml,"On the Peace with Sparta
",Andocides
152,./data/tlg0027/tlg004/tlg0027.tlg004.perseus-grc1.xml,Against Alcibiades ,Andocides
153,./data/tlg0027/tlg002/tlg0027.tlg002.perseus-grc1.xml,On His Return ,Andocides
154,./data/tlg0074/tlg001/tlg0074.tlg001.perseus-grc1.xml,Anabasis,Arrian
155,./data/tlg0074/tlg006/tlg0074.tlg006.perseus-grc1.xml,Acies Contra Alanos,Arrian
156,./data/tlg0074/tlg003/tlg0074.tlg003.perseus-grc1.xml,Cynegeticus,Arrian
157,./data/tlg0074/tlg004/tlg0074.tlg004.perseus-grc1.xml,Periplus Ponti Euxini,Arrian
158,./data/tlg0074/tlg005/tlg0074.tlg005.perseus-grc1.xml,Tactica,Arrian
159,./data/tlg0074/tlg002/tlg0074.tlg002.perseus-grc1.xml,Indica,Arrian
160,./data/tlg0284/tlg054/tlg0284.tlg054.perseus-grc1.xml,Orationes 54 ,"Aristides, Aelius"
161,./data/tlg0284/tlg053/tlg0284.tlg053.perseus-grc1.xml,Orationes 53 ,"Aristides, Aelius"
162,./data/tlg0284/tlg009/tlg0284.tlg009.perseus-grc1.xml,Orationes 9 ,"Aristides, Aelius"
163,./data/tlg0284/tlg036/tlg0284.tlg036.perseus-grc1.xml,Orationes 36 ,"Aristides, Aelius"
164,./data/tlg0284/tlg031/tlg0284.tlg031.perseus-grc1.xml,Orationes 31 ,"Aristides, Aelius"
165,./data/tlg0284/tlg038/tlg0284.tlg038.perseus-grc1.xml,Orationes 38 ,"Aristides, Aelius"
166,./data/tlg0284/tlg007/tlg0284.tlg007.perseus-grc1.xml,Orationes 7 ,"Aristides, Aelius"
167,./data/tlg0284/tlg052/tlg0284.tlg052.perseus-grc1.xml,Orationes 52 ,"Aristides, Aelius"
168,./data/tlg0284/tlg055/tlg0284.tlg055.perseus-grc1.xml,Orationes 55 ,"Aristides, Aelius"
169,./data/tlg0284/tlg001/tlg0284.tlg001.perseus-grc1.xml,Orationes 1 ,"Aristides, Aelius"
170,./data/tlg0284/tlg039/tlg0284.tlg039.perseus-grc1.xml,Orationes 39 ,"Aristides, Aelius"
171,./data/tlg0284/tlg006/tlg0284.tlg006.perseus-grc1.xml,Orationes 6 ,"Aristides, Aelius"
172,./data/tlg0284/tlg030/tlg0284.tlg030.perseus-grc1.xml,Orationes 30 ,"Aristides, Aelius"
173,./data/tlg0284/tlg008/tlg0284.tlg008.perseus-grc1.xml,Orationes 8 ,"Aristides, Aelius"
174,./data/tlg0284/tlg037/tlg0284.tlg037.perseus-grc1.xml,Orationes 37 ,"Aristides, Aelius"
175,./data/tlg0284/tlg015/tlg0284.tlg015.perseus-grc1.xml,Orationes 15 ,"Aristides, Aelius"
176,./data/tlg0284/tlg012/tlg0284.tlg012.perseus-grc1.xml,Orationes 12 ,"Aristides, Aelius"
177,./data/tlg0284/tlg024/tlg0284.tlg024.perseus-grc1.xml,Orationes 24 ,"Aristides, Aelius"
178,./data/tlg0284/tlg023/tlg0284.tlg023.perseus-grc1.xml,Orationes 23 ,"Aristides, Aelius"
179,./data/tlg0284/tlg048/tlg0284.tlg048.perseus-grc1.xml,Orationes 48 ,"Aristides, Aelius"
180,./data/tlg0284/tlg046/tlg0284.tlg046.perseus-grc1.xml,Orationes 46 ,"Aristides, Aelius"
181,./data/tlg0284/tlg041/tlg0284.tlg041.perseus-grc1.xml,Orationes 41 ,"Aristides, Aelius"
182,./data/tlg0284/tlg022/tlg0284.tlg022.perseus-grc1.xml,Orationes 22 ,"Aristides, Aelius"
183,./data/tlg0284/tlg025/tlg0284.tlg025.perseus-grc1.xml,Orationes 25 ,"Aristides, Aelius"
184,./data/tlg0284/tlg013/tlg0284.tlg013.perseus-grc1.xml,Orationes 13 ,"Aristides, Aelius"
185,./data/tlg0284/tlg014/tlg0284.tlg014.perseus-grc1.xml,Orationes 14 ,"Aristides, Aelius"
186,./data/tlg0284/tlg040/tlg0284.tlg040.perseus-grc1.xml,Orationes 40 ,"Aristides, Aelius"
187,./data/tlg0284/tlg047/tlg0284.tlg047.perseus-grc1.xml,Orationes 47 ,"Aristides, Aelius"
188,./data/tlg0284/tlg049/tlg0284.tlg049.perseus-grc1.xml,Orationes 49 ,"Aristides, Aelius"
189,./data/tlg0284/tlg032/tlg0284.tlg032.perseus-grc1.xml,Orationes 32 ,"Aristides, Aelius"
190,./data/tlg0284/tlg035/tlg0284.tlg035.perseus-grc1.xml,Orationes 35 ,"Aristides, Aelius"
191,./data/tlg0284/tlg003/tlg0284.tlg003.perseus-grc1.xml,Orationes 3 ,"Aristides, Aelius"
192,./data/tlg0284/tlg004/tlg0284.tlg004.perseus-grc1.xml,Orationes 4 ,"Aristides, Aelius"
193,./data/tlg0284/tlg050/tlg0284.tlg050.perseus-grc1.xml,Orationes 50 ,"Aristides, Aelius"
194,./data/tlg0284/tlg005/tlg0284.tlg005.perseus-grc1.xml,Orationes 5 ,"Aristides, Aelius"
195,./data/tlg0284/tlg002/tlg0284.tlg002.perseus-grc1.xml,Orationes 2 ,"Aristides, Aelius"
196,./data/tlg0284/tlg034/tlg0284.tlg034.perseus-grc1.xml,Orationes 34 ,"Aristides, Aelius"
197,./data/tlg0284/tlg033/tlg0284.tlg033.perseus-grc1.xml,Orationes 33 ,"Aristides, Aelius"
198,./data/tlg0284/tlg056/tlg0284.tlg056.perseus-grc1.xml,Ars Rhetorica,"Aristides, Aelius
	"
199,./data/tlg0284/tlg051/tlg0284.tlg051.perseus-grc1.xml,Orationes 51 ,"Aristides, Aelius"
200,./data/tlg0284/tlg042/tlg0284.tlg042.perseus-grc1.xml,Orationes 42 ,"Aristides, Aelius"
201,./data/tlg0284/tlg045/tlg0284.tlg045.perseus-grc1.xml,Orationes 45 ,"Aristides, Aelius"
202,./data/tlg0284/tlg011/tlg0284.tlg011.perseus-grc1.xml,Orationes 11 ,"Aristides, Aelius"
203,./data/tlg0284/tlg016/tlg0284.tlg016.perseus-grc1.xml,Orationes 16 ,"Aristides, Aelius"
204,./data/tlg0284/tlg029/tlg0284.tlg029.perseus-grc1.xml,Orationes 29 ,"Aristides, Aelius"
205,./data/tlg0284/tlg020/tlg0284.tlg020.perseus-grc1.xml,Orationes 20 ,"Aristides, Aelius"
206,./data/tlg0284/tlg027/tlg0284.tlg027.perseus-grc1.xml,Orationes 27 ,"Aristides, Aelius"
207,./data/tlg0284/tlg018/tlg0284.tlg018.perseus-grc1.xml,Orationes 18 ,"Aristides, Aelius"
208,./data/tlg0284/tlg044/tlg0284.tlg044.perseus-grc1.xml,Orationes 44 ,"Aristides, Aelius"
209,./data/tlg0284/tlg043/tlg0284.tlg043.perseus-grc1.xml,Orationes 43 ,"Aristides, Aelius"
210,./data/tlg0284/tlg026/tlg0284.tlg026.perseus-grc1.xml,Orationes 26 ,"Aristides, Aelius"
211,./data/tlg0284/tlg019/tlg0284.tlg019.perseus-grc1.xml,Orationes 19 ,"Aristides, Aelius"
212,./data/tlg0284/tlg021/tlg0284.tlg021.perseus-grc1.xml,Orationes 21 ,"Aristides, Aelius"
213,./data/tlg0284/tlg017/tlg0284.tlg017.perseus-grc1.xml,Orationes 17 ,"Aristides, Aelius"
214,./data/tlg0284/tlg028/tlg0284.tlg028.perseus-grc1.xml,Orationes 28 ,"Aristides, Aelius"
215,./data/tlg0284/tlg010/tlg0284.tlg010.perseus-grc1.xml,Orationes 10 ,"Aristides, Aelius"
216,./data/tlg4081/tlg001/tlg4081.tlg001.perseus-grc1.xml,Rape of Helen,Colluthus
217,./data/tlg0613/tlg001/tlg0613.tlg001.perseus-grc1.xml,Libro de Elocutione,Demetrius of Phaleron (attributed author)
218,./data/tlg4029/tlg001/tlg4029.tlg001.perseus-grc1.xml,de Bellis,Procopius
219,./data/tlg4029/tlg002/tlg4029.tlg002.perseus-grc1.xml,Historia Arcana (Anecdota),Procopius
